data,model,RMSE
Test,Bi-LSTM,2.6028859224839023
Test,Bi-LSTM,2.5697752566213725
Test,Bi-LSTM,2.662418921428593
Test,Bi-LSTM,2.552945206663136
Test,Bi-LSTM,2.565119666446425
Test,Bi-LSTM,2.6802742825976815
Test,Bi-LSTM,2.6205394369179187
Test,Bi-LSTM,2.6436757765784384
Test,Bi-LSTM,2.63618979953437
Test,Bi-LSTM,2.541001155361166
Test,Bi-LSTM,2.6071457689448723
Test,Bi-LSTM,2.5709568898034947
Test,Bi-LSTM,2.5554142116818825
Test,Bi-LSTM,2.589206440697245
Test,Bi-LSTM,2.6168729685527694
Train,Bi-LSTM,2.6065911661164565
Train,Bi-LSTM,2.6001580787232204
Train,Bi-LSTM,2.6391514053278526
Train,Bi-LSTM,2.555715978462783
Train,Bi-LSTM,2.597041711518879
Train,Bi-LSTM,2.661312415589324
Train,Bi-LSTM,2.6340296648430503
Train,Bi-LSTM,2.615331057122592
Train,Bi-LSTM,2.6512185355190745
Train,Bi-LSTM,2.5510643560047894
Train,Bi-LSTM,2.632194095287556
Train,Bi-LSTM,2.610584719206923
Train,Bi-LSTM,2.5573181530903235
Train,Bi-LSTM,2.562524999964523
Train,Bi-LSTM,2.589689677361134
Test,GRU,2.7156709022163463
Test,GRU,2.689735807258136
Test,GRU,2.6749657670385174
Test,GRU,2.748863659212105
Test,GRU,2.660070506567669
Test,GRU,2.653156152040362
Test,GRU,2.7326327428482595
Test,GRU,2.6833112120608216
Test,GRU,2.6329127899888105
Test,GRU,2.643324576768617
Test,GRU,2.677079988614184
Test,GRU,2.64779386805831
Test,GRU,2.697939039422555
Test,GRU,2.651229507508816
Test,GRU,2.695385686820633
Train,GRU,2.6982474077067344
Train,GRU,2.6796910512664383
Train,GRU,2.6678771078615777
Train,GRU,2.729945451241751
Train,GRU,2.6698637937050744
Train,GRU,2.6693978360509645
Train,GRU,2.713119120907802
Train,GRU,2.6742868974693024
Train,GRU,2.646972851847898
Train,GRU,2.68277138334986
Train,GRU,2.6825128096319326
Train,GRU,2.673628890055569
Train,GRU,2.690921637011184
Train,GRU,2.6487489691804855
Train,GRU,2.6883728972857464
Test,LSTM,2.5431780365710437
Test,LSTM,2.5361786170855134
Test,LSTM,2.542639902218675
Test,LSTM,2.5479682249848765
Test,LSTM,2.5309237310910553
Test,LSTM,2.588537502984877
Test,LSTM,2.5123949592014854
Test,LSTM,2.525763570982064
Test,LSTM,2.511604449886987
Test,LSTM,2.5337583193933004
Test,LSTM,2.5338856436829174
Test,LSTM,2.5515109474097866
Test,LSTM,2.4942570169071074
Test,LSTM,2.588696606321988
Test,LSTM,2.5422402500140118
Train,LSTM,2.509377683467118
Train,LSTM,2.4934290197430102
Train,LSTM,2.5080536781191736
Train,LSTM,2.5054570053219853
Train,LSTM,2.5197184901163836
Train,LSTM,2.540634731318893
Train,LSTM,2.497482317416203
Train,LSTM,2.5469130260024633
Train,LSTM,2.5080551070655983
Train,LSTM,2.497592769366533
Train,LSTM,2.5279595440211855
Train,LSTM,2.51624746522913
Train,LSTM,2.482292874253641
Train,LSTM,2.6119162374609703
Train,LSTM,2.5476958871099398
